,original_title,ISBNs,DOI,Publication Title,PDF Link,Abstract,Authors,Author Keywords,Publication Year,title,keep_title
403,Prediction of Future Loads Using Neural Networks for Energy-Efficient Computing,978-1-5090-2655-5,10.1109/CANDAR.2016.0105,2016 Fourth International Symposium on Computing and Networking (CANDAR),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7818675,"In modern data centers a large amount of energy can be saved by intelligently distributing load on the available servers and transferring idle nodes into low energy modes. Distributing load leads to a more energy-efficient usage of the servers within a server farm. Additionally, the use of energy saving modes like suspend to main memory can decrease the energy consumption dramatically. The selection of nodes to be transferred into a low energy mode is based on the information of an energy-efficient load distribution. The usage of low energy modes requires knowledge about future loads. Having a variable load profile, i.e. variations in loads over time, leads to time periods in which servers are idle (denoted as gaps). Within these gaps, servers can be transferred into one of various supported energy saving modes. It is crucial to have information about future gaps in advance to make the right decision in regard to the chosen energy saving mode. Usually, information about the future is not directly available but can be predicted using sophisticated algorithms. In this paper, we present an approach to predict future loads using trends, seasonal data, and neural networks.",J. Lenhardt; W. Schiffmann; S. Jannevers,energy-efficient computing;load prediction;neural networks;server farms;trend analysis,2016,prediction of future loads using neural networks for energy efficient computing,1
404,A Power Consumption Estimation Approach for Embedded Software Design Using Trace Analysis,978-1-4673-7585-6,10.1109/SEAA.2015.34,2015 41st Euromicro Conference on Software Engineering and Advanced Applications,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7302432,"With the explosion of advanced power control knobs such as dynamic voltage frequency scaling, mastering energy constraints in embedded systems is becoming challenging for software developers. Several power estimation techniques have been proposed over the past years, from electrical level to more abstract models such as SystemC/TLM. They offer various tradeoffs between performance and accuracy, but suffer from a number of shortcomings. They are expensive and time-consuming, requiring intricate models of the architecture and finally, fail to be applied from the software developer perspective. In this paper, we propose a lightweight and cost-effective approach suitable for software developers. It relies on trace analysis and high-level modeling of architectures to perform quick and efficient power consumption estimations without loosing accuracy. This approach is fully supported by a tool and is validated using a simple thermal mitigation case study and checked against physical measurements. We show that, for our case study, the relative error between our tool and real values is 8% in average.",Y. B. Atitallah; J. Mottin; N. Hili; T. Ducroux; G. Godet-Bar,power consumption;embedded software design;power management and trace analysis,2015,a power consumption estimation approach for embedded software design using trace analysis,1
406,"An empirical study of performance, power consumption, and energy cost of erasure code computing for HPC cloud storage systems",978-1-4673-7891-8,10.1109/NAS.2015.7255220,"2015 IEEE International Conference on Networking, Architecture and Storage (NAS)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7255220,"Erasure code storage systems are becoming popular choices for cloud storage systems due to cost-effective storage space saving schemes and higher fault-resilience capabilities. Both erasure code encoding and decoding procedures are involving heavy array, matrix, and table-lookup compute intensive operations. Multi-core, many-core, and streaming SIMD extension are implemented in modern CPU designs. In this paper, we study the power consumption and energy efficiency of erasure code computing using traditional Intel x86 platform and Intel Streaming SIMD extension platform. We use a breakdown power consumption analysis approach and conduct power studies of erasure code encoding process on various storage devices. We present the impact of various storage devices on erasure code based storage systems in terms of processing time, power utilization, and energy cost. Finally we conclude our studies and demonstrate the Intel x86's Streaming SIMD extensions computing is a cost-effective and favorable choice for future power efficient HPC cloud storage systems.",Hsing-bung Chen; G. Grider; J. Inman; P. Fields; J. A. Kuehn,Erasure code;SIMD Vectorization;Power measurement;Energy cost;Power consumption;Cloud storage,2015,an empirical study of performance power consumption and energy cost of erasure code computing for hpc cloud storage systems,1
408,POMMEL: Exploring Off-Chip Memory Energy & Power Consumption in Convolutional Neural Network Accelerators,978-1-6654-2703-6,10.1109/DSD53832.2021.00073,2021 24th Euromicro Conference on Digital System Design (DSD),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556365,"Reducing the power and energy consumption of Convolutional Neural Network (CNN) Accelerators is becoming an increasingly popular design objective for both cloud and edge-based settings. Aiming towards the design of more efficient accelerator systems, the accelerator architect must understand how different design choices impact both power and energy consumption. The purpose of this work is to enable CNN accelerator designers to explore how design choices affect the memory subsystem in particular, which is a significant contributing component. By considering high-level design parameters of CNN accelerators that affect the memory subsystem, the proposed tool returns power and energy consumption estimates for a range of networks and memory types. This allows for power and energy of the off-chip memory subsystem to be considered earlier within the design process, enabling greater optimisations at the beginning phases. Towards this, the paper introduces POMMEL, an off-chip memory subsystem modelling tool for CNN accelerators, and its evaluation across a range of accelerators, networks, and memory types is performed. Furthermore, using POMMEL, the impact of various state-of-the-art compression and activity reduction schemes on the power and energy consumption of current accelerations is also investigated.",A. Montgomerie-Corcoran; C. -S. Bouganis,Convolutional Neural Networks;Power Modelling;Machine Learning Acceleration,2021,pommel exploring off chip memory energy power consumption in convolutional neural network accelerators,1
410,PAM: An efficient power-aware multi-level cache policy to reduce energy consumption of Software Defined Network,978-1-6319-0022-8,10.4108/icst.iniscom.2015.258322,2015 1st International Conference on Industrial Networks and Intelligent Systems (INISCom),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7157817,"Nowadays energy consumption is one of the most significant aspects in Internet operations, where multi-level routing is widely used. In a typical hierarchical router cache structure, the upper level storage serves as a cache for the lower level, which forms a distributed multi-level cache system. In the past two decades, several classic LRU-based multi-level cache policies were proposed to improve the overall I/O performance of storage systems. However, few power-aware multi-level cache policies focus on the storage devices in the bottom level, which consume more than 27% energy of the whole system [20]. To address this problem, in this paper, we propose a novel Power-Aware Multi-level cache (PAM) policy, which can reduce the energy consumption of storage devices with both high performance and high I/O bandwidth. In our PAM policy, a proper number of cold dirty blocks in the upper level cache are identified and selected to flush directly to the storage devices, which provides high probability to extend the duration time of data disks with standby status. Thus the energy consumption can be reduced. Simulation results show that, compared to the existing popular cache schemes such as PA-LRU, PB-LRU and Demote, PAM saves the power consumption by up to 15% under different I/O workloads, which improves the energy efficiency by up to 50.5%.",Xiaodong Meng; Long Zheng; Li Li; Jie Li,Storage System;Multi-level Cache;Energy Consumption;I/O Performance;Hint,2015,pam an efficient power aware multi level cache policy to reduce energy consumption of software defined network,1
411,"A Green IoT Node Incorporating Transient Computing, Approximate Computing and Energy/Data Prediction",978-1-7281-3893-0,10.1109/CCNC46108.2020.9045177,2020 IEEE 17th Annual Consumer Communications & Networking Conference (CCNC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9045177,"In an effort towards designing a batteryless Internet of Things (IoT) sensor node that is powered by miniaturized energy-harvesting source(s), we combine the techniques of transient computing, approximate computing, data and energy predictions so as to handle the unpredictable power shortages of the miniaturized energy harvesting sources and reduce the overall power consumption of the IoT node. To evaluate the feasibility of our proposed approach, we build upon and extend an existing platform that consists of a peer-to-peer network (a sender node and a receiver node) where each of these nodes combines a Texas Instruments' FRAM-based micro-controller with a low cost, low power radio module and exchanging its data through SimpliciTI protocol. Our results illustrate that combining transient computing, approximate computing, data and energy predictions adds up their individual benefits to achieve an overall better utilization of the harvested energy of the node. Our results show that out of the total 60 transmissions that were due in an interval of 5 hours, for sending the temperature data from sender node to the receiver node every 5 minutes, a total of 32 transmissions were avoided, leading to a saving of more than 50% of the radio transmissions in the sender node.",S. Z. Khan; R. Kakar; M. M. Alam; Y. L. Moullec; H. Pervaiz,Transient Computing;Energy Prediction;Data Prediction;Approximate Computing;SimipliciTI,2020,a green iot node incorporating transient computing approximate computing and energy data prediction,1
412,Integration of Minimum Energy Point Tracking and Soft Real-Time Scheduling for Edge Computing,978-1-7281-7641-3,10.1109/ISQED51717.2021.9424343,2021 22nd International Symposium on Quality Electronic Design (ISQED),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424343,"In the upcoming Internet of Things era, reducing energy consumption of embedded processors is highly desired. Minimum Energy Point Tracking (MEPT) is one of the most efficient methods to reduce both dynamic and static energy consumption of a processor. Previous works proposed a variety of MEPT methods over the past years. However, none of them incorporate their algorithms with practical real-time operating systems, although edge computing applications often require low energy task execution with guaranteeing real-time properties. The difficulty comes from the time complexity for identifying MEP and changing voltages, which often prevents real-time task scheduling. This paper proposes an approximated MEPT algorithm, which reduces the complexity of identifying MEP down to that of Dynamic Voltage and Frequency Scaling (DVFS). We also propose a task scheduling algorithm, which adjusts processor performance to the workload, and provides a soft real-time capability to the system. With these two methods, MEPT became a general task, and the operating system stochastically adjusts the average response time of a processor to be equal to a specified deadline. The experiments using a fabricated test chip show that the energy loss induced by the proposed algorithm is only 0.5% at most, and the algorithm does not sacrifice the fundamental real-time properties.",T. Komori; Y. Masuda; J. Shiomi; T. Ishihara,Minimum Energy Point Tracking (MEPT);Dynamic Voltage and Frequency Scaling (DVFS);Adaptive Body Biasing (ABB);Real-Time Operating System (RTOS);Soft Real-Time Scheduling,2021,integration of minimum energy point tracking and soft real time scheduling for edge computing,1
413,Integrated Energy Monitoring and Control IoT System and Validation Results from Neural Network Control Demonstration,978-1-6654-3568-0,10.1109/AIIoT52608.2021.9454222,2021 IEEE World AI IoT Congress (AIIoT),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454222,"Increasing use of renewable and distributed power generation creates opportunities for customer resources to support power system operations by adjusting power consumption and generation to address grid needs, based on system-wide and local grid conditions. We present an integrated Energy Internet of Things (E-IoT) testbed including (1) distributed Advanced Realtime Grid Energy Monitor Systems (ARGEMS) with sensing, communication, and control capabilities, (2) distributed smart home sites, including smart home hubs for monitoring and control of physical and simulated Internet of Things (IoT) distributed energy resources (DERs) such as solar systems, home batteries, and smart appliances, and (3) control algorithms based on artificial intelligence and optimization, which manage customer DERs to respond to power grid conditions while serving customer needs. The integration of these three components enables demonstration and assessment of a variety of advanced DER monitoring and control strategies for improved power grid operations and customer benefits. We validate the functionality of this E- IoT testbed by demonstrating control of a simulated home battery by a neural network imitation learning algorithm running on a physical smart home hub, where the controller responds to grid services events triggered by an ARGEMS device based on local power system measurements and simulated bulk power system conditions. The developed neural network controller imitates the performance of a model predictive control optimization algorithm, but requires nearly 20,000 times less computational time and can run on small distributed computers.",D. Ellman; P. Shukla; Y. Xiao; M. Iskander; K. Davies,internet of things;smart grid;smart home;neural network;imitation learning;demand response,2021,integrated energy monitoring and control iot system and validation results from neural network control demonstration,1
415,Runtime monitoring of software energy hotspots,978-1-4503-1204-2,10.1145/2351676.2351699,2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494916,"GreenIT has emerged as a discipline concerned with the optimization of software solutions with regards to their energy consumption. In this domain, most of the state-of-the-art solutions concentrate on coarse-grained approaches to monitor the energy consumption of a device or a process. However, none of the existing solutions addresses in-process energy monitoring to provide in-depth analysis of a process energy consumption. In this paper, we therefore report on a fine-grained runtime energy monitoring framework we developed to help developers to diagnose energy hotspots with a better accuracy than the state-of-the-art. Concretely, our approach adopts a 2-layer architecture including OS-level and process-level energy monitoring. OS-level energy monitoring estimates the energy consumption of processes according to different hardware devices (CPU, network card). Process-level energy monitoring focuses on Java-based applications and builds on OS-level energy monitoring to provide an estimation of energy consumption at the granularity of classes and methods. We argue that this per-method analysis of energy consumption provides better insights to the application in order to identify potential energy hotspots. In particular, our preliminary validation demonstrates that we can monitor energy hotspots of Jetty web servers and monitor their variations under stress scenarios.",A. Noureddine; A. Bourdon; R. Rouvoy; L. Seinturier,Bytecode Instrumentation;Power Model;Power Monitoring;Profiling,2012,runtime monitoring of software energy hotspots,1
416,SEMFI: A Software-Based and Real-Time Energy Monitoring Platform for WiFi IoT Devices,978-1-6654-5097-3,10.1109/GHTC55712.2022.9911022,2022 IEEE Global Humanitarian Technology Conference (GHTC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9911022,"Many WiFi-based Internet of Things (IoT) devices rely on limited energy resources such as a battery. Although monitoring and studying the energy consumption of these devices is essential, the use of external, hardware-based energy measurement tools is costly, non-scalable, and introduces many challenges regarding the connectivity of such tools with devices. In this paper, we propose Software-based Energy Management Tool for WiFi (SEMFI), a novel tool to collect, analyze, and monitor the power cycles of IoT devices without the need for any external tools. The basic idea is to modify the WiFi Access Point (AP)’s software to keep track of the power status of devices reported in packets. SEMFI also includes back-end and front-end components for data storage, analysis, and visualization. We demonstrate the effectiveness and features of SEMFI via empirical evaluations.",A. Chawla; N. Kannan; S. Goyalia; V. Ramanna; J. Sheth; B. Dezfouli,Energy Efficiency;Energy Monitoring;Mission-critical Applications;Duty Cycle;Sustainability,2022,semfi a software based and real time energy monitoring platform for wifi iot devices,1
417,Hardware and software innovations in energy-efficient system-reliability monitoring,978-1-5386-0362-8,10.1109/DFT.2017.8244435,2017 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8244435,"Many threats that can undermine the reliability of a system can be realized at design, while others only during its online operation. As the availability of system monitoring sensors and run-time software increases in heterogeneous platforms, there is a demand for a novel platform-independent framework that can capture and deliver, in a holistic way, system level self-assessment and adaptation capabilities at run-time. In this paper, two groups from academia and one from industry present the following three contributions. First, system reliability is considered from the perspective of novel timing guardband designs for aging mitigation. Effective timing guardband models are presented from the physical to the system level, while targeting multiple wear-out mechanisms. Second, a technique for correlating complex software and micro-architectural events with power integrity loss is presented. The presented technique uses an embedded voltage noise sensor, a power-network model and a genetic algorithm for identifying workload that triggers power-network resonances which can ultimately lead to system failures. Third, the `PRiME' cross-layer programming framework is presented that unites available sensors and dynamic-voltage and frequency scaling actuators with learning-based run-time process mapping and scheduling algorithms. Scenarios on exploring the energy efficiency and reliability of heterogeneous platforms using run-time software derived from the developed framework are also reviewed.",V. Tenentes; C. Leech; G. M. Bragg; G. Merrett; B. M. Al-Hashimi; H. Amrouch; J. Henkel; S. Das,,2017,hardware and software innovations in energy efficient system reliability monitoring,1
420,Accurate and Low-Overhead Process-Level Energy Estimation for Modern Hard Disk Drives,978-0-7695-5046-6,10.1109/GreenCom-iThings-CPSCom.2013.50,"2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682064,"Measuring the energy consumed by modern secondary storage devices and attributing it to the causative application's processes can guide optimization of application energy efficiency. Prior work has focused on hard disk drive or file system energy management using custom-built measurement systems and models, but suffers from limitations that prohibit the attribution of the hardware energy consumption to the causative processes. This paper presents a novel process-level disk drive energy estimation system that monitors the operating system kernel to predict the storage power consumption created by individual processes of a software application. Evaluation reveals that the system is accurate with prediction errors around 7% even for workloads involving simultaneous file system operations from multiple processes. The system creates virtually no power consumption overhead in the CPU and about 4% overhead in the RAM module. Results using I/O benchmarks demonstrate that a large portion of the energy usage (up to 100% in some cases) in modern disk drives can occur after the causative processes have already completed execution. Hence, results obtained using power meters or direct energy measurement systems based solely on a benchmark's execution lifetime can drastically underestimate the benchmark application's storage energy demands.",J. Yan; C. K. Lonappan; A. Vajid; D. Singh; W. J. Kaiser,energy efficiency;energy measurement;Linux kernel;power consumption;I/O scheduler;secondary storage,2013,accurate and low overhead process level energy estimation for modern hard disk drives,1
421,Long-Term and Short-Term Energy Prediction using BIM Energy Simulations and Machine Learning Techniques,978-1-6654-6697-4,10.1109/ELECOM54934.2022.9965261,"2022 4th International Conference on Emerging Trends in Electrical, Electronic and Communications Engineering (ELECOM)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965261,"Buildings consume the largest share of electricity in a country’s power grid. There is an ongoing challenge to reduce the energy consumption of buildings. One solution is efficient management of the different systems in the building such as HVAC systems to reduce energy consumption while maintaining the comfort level of people. For proper automation of the systems, there is a need to forecast the energy consumption of a building both in the long term and the short term. The Professor Sir Edouard Lim Fat Engineering Tower building was modelled on Autodesk Revit and energy simulations were performed on the model using Autodesk Green Building Studio. The simulation results were then compared to actual energy consumption. The same building was also used to test machine learning techniques; Gradient Boosting Machine, Support Vector Machine and Deep Neural Network ability to perform short-term energy prediction using data about energy consumption, weather and ambient environment of the building. It was observed that energy simulations overestimated the actual energy consumption by 27%, 29.6%, 59.7% and 60.6% for the months of October, November, December and January respectively. On the machine learning side, Gradient Boosting was observed to outperform SVM and DNN in training time, RMSE and Coefficient of Determination.",R. T. F. Ah King; B. Rajkumarsingh; Y. Gopee,Building Energy Modelling;Gradient Boosting Machine;Support Vector Machine;Deep Neural Network,2022,long term and short term energy prediction using bim energy simulations and machine learning techniques,1
424,How Is Energy Consumed in Smartphone Deep Learning Apps? Executing Locally vs. Remotely,978-1-7281-0962-6,10.1109/GLOBECOM38437.2019.9013647,2019 IEEE Global Communications Conference (GLOBECOM),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013647,"Applying deep learning to object detection provides the capability to accurately detect and classify complex objects in the real world. However, currently, few mobile applications use deep learning because such technology is computation- and energy-intensive. This paper, to the best of our knowledge, presents the first detailed experimental study of the smartphone's energy consumption and the detection latency of executing deep Convolutional Neural Networks (CNN) optimized object detec- tion, either locally on the smartphone or remotely on an edge server. We experiment with a variety of smartphones, obtaining different levels of computation capacities, in order to ensure that we are not profiling a specific device. Our detailed measurements refine the energy analysis of smartphones and reveal some interesting perspectives regarding the energy consumption of executing the deep CNN optimized object detection. We believe that these findings will guide the design of energy efficient processing pipeline of the CNN optimized object detection.",H. Wang; B. Kim; J. Xie; Z. Han,,2019,how is energy consumed in smartphone deep learning apps executing locally vs remotely,1
425,Deep Learning Based Modeling for Cutting Energy Consumed in CNC Turning Process,978-1-5386-6650-0,10.1109/SMC.2018.00244,"2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616240,"This paper studies a predictive modeling for cutting energy consumption in CNC turning process by using deep learning methods. An analysis of energy consumption in cutting period is firstly presented, based on which the impact factors of energy are clarified. Then the data collection platform and data pre-processing are introduced, followed by a brief review of Convolutional Neural Network (CNN), Stacked Auto-Encoder (SAE) and Deep Belief Network (DBN). These modeling methods are tested by k-fold cross-validation. The obtained results show that SAE is the most suitable method to model the relationship between process parameters, machining configuration and cutting energy.",Q. Xiao; C. Li; Y. Tang; Y. Du; Y. Kou,Deep learning;Energy consumption;CNC turning,2018,deep learning based modeling for cutting energy consumed in cnc turning process,1
426,A Low-Power Deep Neural Network Online Learning Processor for Real-Time Object Tracking Application,,10.1109/TCSI.2018.2880363,IEEE Transactions on Circuits and Systems I: Regular Papers,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554277,"A deep neural network (DNN) online learning processor is proposed with high throughput and low power consumption to achieve real-time object tracking in mobile devices. Four key features enable a low-power DNN online learning. First, a proposed processor is designed with a unified core architecture and it achieves 1.33× higher throughput than the previous state-of-the-art DNN learning processor. Second, the new algorithms, binary feedback alignment (BFA), and dynamic fixed-point based run-length compression (RLC), are proposed and reduce power consumption through the reduction of external memory accesses (EMA). The BFA and dynamic fixed-point-based RLC reduce the EMA by 11.4% and 32.5%, respectively. Third, the new data feeding units, including an integral RLC (iRLC) decoder and a transpose RLC (tRLC) decoder, are co-designed to maximize throughput alongside the proposed algorithms. Finally, a dropout controller in this processor reduces redundant power consumption coming from the unified core and the data feeding architecture by the proposed dynamic clock-gating scheme. This enables the proposed processor to operate DNN online learning with 38.1% lower power consumption. Implemented with 65 nm CMOS technology, the 3.52 mm2 DNN online learning processor shows 126 mW power consumption and the processor achieves 30.4 frames-per-second throughput in the object tracking application.",D. Han; J. Lee; J. Lee; H. -J. Yoo,Deep neural network;online learning;object tracking;feedback alignment;run-length compression;dynamic fixed-point representation;dropout,2019,a low power deep neural network online learning processor for real time object tracking application,1
427,A study of hardware performance monitoring counter selection in power modeling of computing systems,978-1-4673-2154-9,10.1109/IGCC.2012.6322289,2012 International Green Computing Conference (IGCC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6322289,"Power management and energy savings in high-performance computing has become an increasingly important design constraint. The foundation of many power/energy saving methods is based on power consumption models, which commonly rely on hardware performance monitoring counters (PMCs). Various events are provided by processor manufacturers to be monitored using PMCs. PMC event selection has been mainly based on architectural intuitions. However, efficient use of PMCs requires a carefully selected set of events. Therefore, a comprehensive study of PMC events with regards to power modeling is needed to understand and enhance such power models. In this paper, we study the relationship of PMC events with power consumption in the context of single-PMC and multi-PMC power models. Our OpenMP applications are from NAS Parallel Benchmark (BT, CG, LU, and SP) running on an AMD machine. We present the single-PMC selection results for each of our test applications, as well as a unified list for all four applications. Unlike other work that do not consider PMCs as each others' covariates, we present a method to select the most correlated set of PMC events for a given application. Our method finds the desired set of events with 6 times less number of executions compared to a principal component analysis (PCA) method. In addition, we have investigated variability of measurement for correlation coefficients. The 95% confidence interval of power-PMC and PMC-PMC correlation coefficients falls within 1.6% and 2.3% of their measured values, respectively. Furthermore, we study the power and PMC trends in the context of time-series and show that power estimates can be enhanced more than common regression methods. We show that the ARMAX model, a time-series candidate for real-time power estimation, can estimate system power consumption with a mean absolute error (total signal) of 0.1-0.5% in our applications.",R. Zamani; A. Afsahi,performance monitoring counters;power modeling;energy saving,2012,a study of hardware performance monitoring counter selection in power modeling of computing systems,1
428,Lightweight Power Monitoring Framework for Virtualized Computing Environments,,10.1109/TC.2019.2936018,IEEE Transactions on Computers,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8811765,"The pervasive use of virtualization techniques in today's datacenters poses challenges in power monitoring since it is not possible to directly measure the power consumption of a virtual entity such as a virtual machine (VM) and a container. In this paper, we present cWatts++, a lightweight virtual power meter that enables accurate power usage measurement in virtualized computing environments such as VMs and containers of Cloud data centers. At the core of cWatts++ is its application-agnostic power model. To this end, we devise two power models (eventModel and raplModel) that are driven by CPU event counters and the Running Average Power Limit (RAPL) feature of modern Intel CPUs, respectively. While eventModel is more generic and, thus, applicable to a wide range of workloads, raplModel is particularly good for CPU-bound workloads. We have evaluated cWatts++ with its two power models in a real system using the PARSEC benchmark suite and our in-house benchmarks. Our evaluation study demonstrates that these power models have an average error of 4.55 and 1.25 percent, respectively, compared with actual power usage measurements of a real power meter, Cabac Power-Mate.",J. Phung; Y. C. Lee; A. Y. Zomaya,Energy efficiency;power monitoring;containers;power model;running average power limit;virtualization,2020,lightweight power monitoring framework for virtualized computing environments,1
429,Combining software and hardware monitoring for improved power and performance tuning,0-7695-1889-3,10.1109/INTERA.2003.1192356,"Seventh Workshop on Interaction Between Compilers and Computer Architectures, 2003. INTERACT-7 2003. Proceedings.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1192356,"By anticipating when resources will be idle, it is possible to reconfigure the hardware to reduce power consumption without significantly reducing performance. This requires predicting what the resource requirements will be for an application. In the past, researchers have taken one of two approaches: design hardware monitors that can measure recent performance, or profile the application to determine the most likely behavior for each block of code. This paper explores a third option which is to combine hardware monitoring with software profiling to achieve lower power utilization than either method alone. We demonstrate the potential for this approach in two ways. First, we compare hardware monitoring and software profiling of IPC for code blocks and show that they capture different information. By combining them, we can control issue width and ALU usage more effectively to save more power. Second, we show that anticipating stalls due to critical load misses in the L2 cache can enable fetch halting. Again, hardware monitoring and software profiling must be used together to effectively predict misses and criticality of loads.",E. Chi; A. M. Salem; R. I. Bahar; R. Weiss,,2003,combining software and hardware monitoring for improved power and performance tuning,1
430,WattsKit: Software-Defined Power Monitoring of Distributed Systems,978-1-5090-6611-7,10.1109/CCGRID.2017.27,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973738,"The design and the deployment of energy-efficient distributed systems is a challenging task, which requires software engineers to consider all the layers of a system, from hardware to software. In particular, monitoring and analyzing the power consumption of a distributed system spanning several-potentially heterogeneous-nodes becomes particularly tedious when aiming at a finer granularity than observing the power consumption of hosting nodes. While the state-of-the-art in software-defined power meters fails to deliver adaptive solutions to offer such service-level perspective and to cope with the diversity of hardware CPU architectures, this paper proposes to automatically learn the power models of the nodes supporting a distributed system, and then to use these inferred power models to better understand how the power consumption of the system's processes is distributed across nodes at runtime. Our solution, named WattsKit, offers a modular toolkit to build software-defined power meters ""à la carte"", thus dealing with the diversity of user and hardware requirements. Beyond the demonstrated capability of covering a wide diversity of CPU architectures with high accuracy, we illustrate the benefits of adopting software-defined power meters to analyze the power consumption of complex layered and distributed systems. In particular, we illustrate the capability of our approach to monitor the power consumption of a system composed of Docker Swarm, Weave, Elasticsearch, and Apache Zookeeper. Thanks to WattsKit, developers and administrators are now able to identify potential power leaks in their software infrastructure.",M. Colmant; P. Felber; R. Rouvoy; L. Seinturier,,2017,wattskit software defined power monitoring of distributed systems,1
431,Virtual Machine Power Accounting with Shapley Value,978-1-5386-1792-2,10.1109/ICDCS.2017.235,2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980105,"The ever-increasing power consumption of datacenters has eaten up a large portion of their profit. One possible solution is to charge datacenter users for their actual power usage. However, it poses a great technical challenge as the power of VMs co-existing in a physical machine cannot be measured directly. It is thus critical to develop a fair method to disaggregate the power of a physical machine to individual VMs. We tackle the above challenge by modeling the power disaggregation problem as a cooperative game and propose non-deterministic Shapley value to discover the fair power share of VMs (in the sense of satisfying four desired axiomatic principles), while compensating the negative impact of VM power variation. We demonstrate that the results from existing power model-based solution can deviate from the ""ground truth"" by 25.22% ~46.15%. And compared with the exact Shapley value, our non-deterministic Shapley value can achieve less than 5% error for 90% of the time.",W. Jiang; F. Liu; G. Tang; K. Wu; H. Jin,Virtual Machine;Power Accounting;Power Disaggregation;Fairness;Shapley Value,2017,virtual machine power accounting with shapley value,1
432,Dynamic Virtual Machine migration algorithms using enhanced energy consumption model for green cloud data centers,978-1-4799-5313-4,10.1109/HPCSim.2014.6903785,2014 International Conference on High Performance Computing & Simulation (HPCS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903785,"Cloud data centers consume an enormous amount of energy. Virtual Machine (VM) migration technology can be applied to reduce energy consumption by consolidating VMs onto the minimal number of servers and turn idle servers into power-saving modes. While most existing energy models consider mainly computing energy, an enhanced energy consumption model is formulated, which includes energy consumption for computation, for servers to switch from standby to active modes, and for communication during VM migrations. Next, two new dynamic VM migration algorithms are proposed. They apply a local regression method to predict potentially over-utilized servers, and the 0-1 knapsack dynamic programming to find the best-fit combination of VMs for migration. The time complexity of these algorithms is analyzed, which indicates that they are highly scalable. Performance is evaluated and compared with existing algorithms. The two new heuristics have significantly reduced the number of VM migration, the number of rebooted servers, and energy consumption. Furthermore, one of them has achieved the least overall SLA violations. We believe that the new energy formulation and the two new heuristics contribute significantly towards achieving green cloud computing.",J. Huang; K. Wu; M. Moh,cloud computing;communication energy;energy formulation;energy efficiency;SLA;switching energy;virtual machine placement,2014,dynamic virtual machine migration algorithms using enhanced energy consumption model for green cloud data centers,1
433,Intra-Balance Virtual Machine Placement for Effective Reduction in Energy Consumption and SLA Violation,,10.1109/ACCESS.2019.2920010,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726286,"Cloud computing has emerged as one of the most important technological revolutions globally. However, the rapid growth of cloud computing has imposed a massive financial burden and resulted in environmental side effects due to excessive energy consumption. The high power consumption is not only attributed to the size of data centers but also to the ineptitude of resource usage. Most of the extant research has focused on reducing power consumption by an aggressive VM consolidation, which leads to the violation of the service level agreement (SLA). Furthermore, the unbalanced resource consumption exacerbates the unavailable wasted resources that are referred to as unavailable resource fragmentation. In this paper, we propose the use of a balanced resources consumption algorithm called BRC-IBMMT in order to enhance the efficiency of resource consumption while achieving an acceptable balance between conflicting correlation objectives of power consumption as well as SLA violation. The extensive simulation results of different types of workload validate and lend credence to the significance of the proposed method in reducing power consumption and SLA violation of the cloud data center.",A. -M. Ammar; J. Luo; Z. Tang; O. Wajdy,Balanced resource placement;VM consolidation;energy consumption;cloud computing,2019,intra balance virtual machine placement for effective reduction in energy consumption and sla violation,1
