"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"NeuroMeter: An Integrated Power, Area, and Timing Modeling Framework for Machine Learning Accelerators Industry Track Paper","T. Tang; S. Li; L. Nai; N. Jouppi; Y. Xie","UC Santa Barbara,Santa Barbara,CA,US; Google,Mountain View,CA,US; Google,Mountain View,CA,US; Google,Mountain View,CA,US; UC Santa Barbara,Santa Barbara,CA,US","2021 IEEE International Symposium on High-Performance Computer Architecture (HPCA)","22 Apr 2021","2021","","","841","853","As Machine Learning (ML) becomes pervasive in the era of artificial intelligence, ML specific tools and frameworks are required for architectural research. This paper introduces NeuroMeter, an integrated power, area, and timing modeling framework for ML accelerators. NeuroMeter models the detailed architecture of ML accelerators and generates a fast and accurate estimation on power, area, and chip timing. Meanwhile, it also enables the runtime analysis of system-level performance and efficiency when the runtime activity factors are provided. NeuroMeter's micro-architecture model includes fundamental components of ML accelerators, including systolic array based tensor units (TU), reduction trees (RT), and 1D vector units (VU). NeuroMeter has accurate modeling results, with the average power and area estimation errors below 10% and 17% respectively when validated against TPU-v1, TPU-v2, and Eyeriss.Leveraging the NeuroMeter's new capabilities on architecting manycore ML accelerators, this paper presents the first in-depth study on the design space and tradeoffs of “Brawny and Wimpy” inference accelerators in datacenter scenarios with the insights that are otherwise difficult to discover without NeuroMeter. Our study shows that brawny designs with 64x64 systolic arrays are the most performant and efficient for inference tasks in the 28nm datacenter architectural space with a 500mm2 die area budget. Our study also reveals important tradeoffs between performance and efficiency. For datacenter accelerators with low batch inference, a small (~16%) sacrifice of system performance (in achieved Tera OPerations per Second, aka TOPS) can lead to more than a 2x efficiency improvement (in achieved TOPS/TCO). To showcase NeuroMeter's capability to model a wide range of diverse ML accelerator architectures, we also conduct a followon mini-case study on implications of sparsity on different ML accelerators, demonstrating wimpier accelerator architectures benefit more readily from sparsity processing despite their lower achievable raw energy efficiency.","2378-203X","978-1-6654-2235-2","10.1109/HPCA51647.2021.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407039","accelerator;hardware modeling;deep learning","Analytical models;Runtime;Accelerator architectures;Tools;Energy efficiency;Timing;Task analysis","computer centres;inference mechanisms;learning (artificial intelligence);neural net architecture;power aware computing;systolic arrays;tensors","integrated power;timing modeling framework;architectural research;NeuroMeter models;chip timing;system-level performance;runtime activity factors;NeuroMeter's microarchitecture model;systolic array based tensor units;1D vector units;area estimation errors;architecting manycore ML accelerators;Brawny inference accelerators;Wimpy inference accelerators;area budget;datacenter accelerators;NeuroMeter's capability;wimpier accelerator architectures;ML accelerator architectures;machine learning accelerators industry track paper;datacenter architectural space;raw energy efficiency;artificial intelligence;size 28.0 nm","","3","","58","IEEE","22 Apr 2021","","","IEEE","IEEE Conferences"
"A Machine Learning-based Approach for Vehicular Tracking in Low Power Wide Area Networks","M. Bertolusso; M. Spanu; G. Pettorru; M. Anedda; M. Fadda; R. Girau; M. Farina; D. Giusto","DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy; DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy; DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy; DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy; University of Sassari, Sassari, Italy; University of Bologna, Bologna, Itali; DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy; DIEE, University of Cagliari, UdR CNIT of Cagliari, Cagliari, Italy","2022 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)","25 Jul 2022","2022","","","1","6","This paper addresses the issue of monitoring and tracking people and vehicles within smart cities. The actors in this work jointly cooperate in sensing, sensible data processing, anonymized data delivery, and data processing, with the final goal of providing real-time mapping of vehicular and pedestrian concentration conditions. The classification of conditions can bring out critical situations that can be communicated in real-time to citizens. Tests were conducted in the city of Cagliari, Italy.","2155-5052","978-1-6654-6901-2","10.1109/BMSB55706.2022.9828755","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9828755","Multimedia for connected cars - Multimedia IoT;Broadcast applications to Smart Cities;Multimedia service deployments;AI for Multimedia Networking Intelligence","Digital multimedia broadcasting;Wide area networks;Smart cities;Roads;Data processing;Real-time systems;Sensors","cooperative communication;learning (artificial intelligence);mobile computing;object tracking;pedestrians;power aware computing;smart cities;wide area networks","Italy;Cagliari City;data processing;pedestrian concentration conditions;vehicular concentration conditions;real-time mapping;anonymized data delivery;sensible data processing;smart cities;low power wide area networks;vehicular tracking;machine learning-based approach","","","","21","IEEE","25 Jul 2022","","","IEEE","IEEE Conferences"
"How Is Energy Consumed in Smartphone Deep Learning Apps? Executing Locally vs. Remotely","H. Wang; B. Kim; J. Xie; Z. Han","University of North Carolina at Charlotte, Charlotte, NC, U.S.A.; Toyota Motor North America (TMNA) R&D InfoTech Labs, U.S.A.; University of North Carolina at Charlotte, Charlotte, NC, U.S.A.; University of Houston, Houston, TX, U.S.A.","2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","Applying deep learning to object detection provides the capability to accurately detect and classify complex objects in the real world. However, currently, few mobile applications use deep learning because such technology is computation- and energy-intensive. This paper, to the best of our knowledge, presents the first detailed experimental study of the smartphone's energy consumption and the detection latency of executing deep Convolutional Neural Networks (CNN) optimized object detec- tion, either locally on the smartphone or remotely on an edge server. We experiment with a variety of smartphones, obtaining different levels of computation capacities, in order to ensure that we are not profiling a specific device. Our detailed measurements refine the energy analysis of smartphones and reveal some interesting perspectives regarding the energy consumption of executing the deep CNN optimized object detection. We believe that these findings will guide the design of energy efficient processing pipeline of the CNN optimized object detection.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013647","","Machine learning;Object detection;Servers;Image edge detection;Energy consumption;Batteries;Power measurement","convolutional neural nets;deep learning (artificial intelligence);mobile computing;object detection;power aware computing;smart phones","smartphone deep learning apps;complex objects;mobile applications;deep convolutional neural networks;computation capacities;energy consumption;deep CNN optimized object detection;energy efficient processing pipeline","","8","","18","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"Deep Learning Based Modeling for Cutting Energy Consumed in CNC Turning Process","Q. Xiao; C. Li; Y. Tang; Y. Du; Y. Kou","State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing, China; State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing, China; State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing, China; Department of Electrical and Computer Engineering, Rowan University, Glassboro, USA; Chongqing Key Laboratory of Manufacturing Equipment Mechanism Design and Control, Chongqing Technology and Business University, Chongqing, China","2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","17 Jan 2019","2018","","","1398","1403","This paper studies a predictive modeling for cutting energy consumption in CNC turning process by using deep learning methods. An analysis of energy consumption in cutting period is firstly presented, based on which the impact factors of energy are clarified. Then the data collection platform and data pre-processing are introduced, followed by a brief review of Convolutional Neural Network (CNN), Stacked Auto-Encoder (SAE) and Deep Belief Network (DBN). These modeling methods are tested by k-fold cross-validation. The obtained results show that SAE is the most suitable method to model the relationship between process parameters, machining configuration and cutting energy.","2577-1655","978-1-5386-6650-0","10.1109/SMC.2018.00244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616240","Deep learning;Energy consumption;CNC turning","Deep learning;Turning;Energy consumption;Machine tools;Tools;Data models","belief networks;computerised numerical control;convolutional neural nets;energy consumption;learning (artificial intelligence);production engineering computing;turning (machining)","deep learning methods;energy consumption;impact factors;data collection platform;data pre-processing;modeling methods;process parameters;cutting energy;CNC turning process;predictive modeling;convolutional neural network;deep belief network;CNN;stacked auto-encoder;SAE;DBN;machining configuration","","5","","16","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"A Low-Power Deep Neural Network Online Learning Processor for Real-Time Object Tracking Application","D. Han; J. Lee; J. Lee; H. -J. Yoo","School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea","IEEE Transactions on Circuits and Systems I: Regular Papers","15 Apr 2019","2019","66","5","1794","1804","A deep neural network (DNN) online learning processor is proposed with high throughput and low power consumption to achieve real-time object tracking in mobile devices. Four key features enable a low-power DNN online learning. First, a proposed processor is designed with a unified core architecture and it achieves 1.33× higher throughput than the previous state-of-the-art DNN learning processor. Second, the new algorithms, binary feedback alignment (BFA), and dynamic fixed-point based run-length compression (RLC), are proposed and reduce power consumption through the reduction of external memory accesses (EMA). The BFA and dynamic fixed-point-based RLC reduce the EMA by 11.4% and 32.5%, respectively. Third, the new data feeding units, including an integral RLC (iRLC) decoder and a transpose RLC (tRLC) decoder, are co-designed to maximize throughput alongside the proposed algorithms. Finally, a dropout controller in this processor reduces redundant power consumption coming from the unified core and the data feeding architecture by the proposed dynamic clock-gating scheme. This enables the proposed processor to operate DNN online learning with 38.1% lower power consumption. Implemented with 65 nm CMOS technology, the 3.52 mm2 DNN online learning processor shows 126 mW power consumption and the processor achieves 30.4 frames-per-second throughput in the object tracking application.","1558-0806","","10.1109/TCSI.2018.2880363","Institute for Information and communications Technology Promotion; Korea Government (MSIP)(grant numbers:2016-0-00207); Intelligent Processor Architectures and Application Softwares for CNN (Convolutional Neural Network)-RNN (Recurrent Neural Network)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554277","Deep neural network;online learning;object tracking;feedback alignment;run-length compression;dynamic fixed-point representation;dropout","Object tracking;Target tracking;Throughput;Heuristic algorithms;Real-time systems;Neural networks;Power demand","learning (artificial intelligence);neural nets;object tracking;power aware computing","65 nm CMOS technology;dynamic clock-gating scheme;dropout controller;data feeding units;external memory accesses;binary feedback alignment;mobile devices;redundant power consumption;transpose RLC decoder;integral RLC decoder;dynamic fixed-point-based RLC;dynamic fixed-point based run-length compression;BFA;unified core architecture;low-power DNN online learning;real-time object tracking application;low-power deep neural network online learning processor;power 126.0 mW","","29","","37","IEEE","30 Nov 2018","","","IEEE","IEEE Journals"
"A study of hardware performance monitoring counter selection in power modeling of computing systems","R. Zamani; A. Afsahi","Department of Electrical and Computer Engineering, Queen's University, Kingston, ONT, Canada; Department of Electrical and Computer Engineering, Queen's University, Kingston, ONT, Canada","2012 International Green Computing Conference (IGCC)","4 Oct 2012","2012","","","1","10","Power management and energy savings in high-performance computing has become an increasingly important design constraint. The foundation of many power/energy saving methods is based on power consumption models, which commonly rely on hardware performance monitoring counters (PMCs). Various events are provided by processor manufacturers to be monitored using PMCs. PMC event selection has been mainly based on architectural intuitions. However, efficient use of PMCs requires a carefully selected set of events. Therefore, a comprehensive study of PMC events with regards to power modeling is needed to understand and enhance such power models. In this paper, we study the relationship of PMC events with power consumption in the context of single-PMC and multi-PMC power models. Our OpenMP applications are from NAS Parallel Benchmark (BT, CG, LU, and SP) running on an AMD machine. We present the single-PMC selection results for each of our test applications, as well as a unified list for all four applications. Unlike other work that do not consider PMCs as each others' covariates, we present a method to select the most correlated set of PMC events for a given application. Our method finds the desired set of events with 6 times less number of executions compared to a principal component analysis (PCA) method. In addition, we have investigated variability of measurement for correlation coefficients. The 95% confidence interval of power-PMC and PMC-PMC correlation coefficients falls within 1.6% and 2.3% of their measured values, respectively. Furthermore, we study the power and PMC trends in the context of time-series and show that power estimates can be enhanced more than common regression methods. We show that the ARMAX model, a time-series candidate for real-time power estimation, can estimate system power consumption with a mean absolute error (total signal) of 0.1-0.5% in our applications.","","978-1-4673-2154-9","10.1109/IGCC.2012.6322289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6322289","performance monitoring counters;power modeling;energy saving","Computational modeling;Power measurement;Correlation","energy conservation;performance evaluation;power aware computing;principal component analysis;time series","hardware performance monitoring counter selection;computing systems;power management;energy savings;high performance computing;design constraint;power consumption model;PMC event selection;single-PMC power model;multiPMC power model;OpenMP applications;NAS parallel benchmark;AMD machine;principal component analysis;PCA;PMC-PMC correlation coefficient measurement;time series;power estimates;ARMAX model;real-time power estimation;mean absolute error","","14","","18","IEEE","4 Oct 2012","","","IEEE","IEEE Conferences"
"Lightweight Power Monitoring Framework for Virtualized Computing Environments","J. Phung; Y. C. Lee; A. Y. Zomaya","Centre for Distributed and High Performance Computing, School of Computer Science, The University of Sydney, Camperdown, Australia; Department of Computing, Macquarie University, Sydney, Australia; Centre for Distributed and High Performance Computing, School of Computer Science, The University of Sydney, Camperdown, Australia","IEEE Transactions on Computers","3 Jan 2020","2020","69","1","14","25","The pervasive use of virtualization techniques in today's datacenters poses challenges in power monitoring since it is not possible to directly measure the power consumption of a virtual entity such as a virtual machine (VM) and a container. In this paper, we present cWatts++, a lightweight virtual power meter that enables accurate power usage measurement in virtualized computing environments such as VMs and containers of Cloud data centers. At the core of cWatts++ is its application-agnostic power model. To this end, we devise two power models (eventModel and raplModel) that are driven by CPU event counters and the Running Average Power Limit (RAPL) feature of modern Intel CPUs, respectively. While eventModel is more generic and, thus, applicable to a wide range of workloads, raplModel is particularly good for CPU-bound workloads. We have evaluated cWatts++ with its two power models in a real system using the PARSEC benchmark suite and our in-house benchmarks. Our evaluation study demonstrates that these power models have an average error of 4.55 and 1.25 percent, respectively, compared with actual power usage measurements of a real power meter, Cabac Power-Mate.","1557-9956","","10.1109/TC.2019.2936018","Australian Government Research Training Program; Australian Research Council(grant numbers:DP190103710); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8811765","Energy efficiency;power monitoring;containers;power model;running average power limit;virtualization","Central Processing Unit;Monitoring;Power demand;Servers;Power measurement;Benchmark testing;Estimation","cloud computing;computer centres;microprocessor chips;power aware computing;power consumption;power meters;virtual machines;virtualisation","actual power usage measurements;Cabac Power-Mate;virtualized computing environments;virtualization techniques;power consumption;virtual entity;virtual machine;lightweight virtual power meter;accurate power usage measurement;application-agnostic power model;power models;lightweight power monitoring framework;running average power limit feature;CPU event counters;RAPL;PARSEC benchmark suite;cWatts++;efficiency 1.25 percent","","4","","33","IEEE","23 Aug 2019","","","IEEE","IEEE Journals"
"Combining software and hardware monitoring for improved power and performance tuning","E. Chi; A. M. Salem; R. I. Bahar; R. Weiss","Division of Engineering, Brown University, Providence, RI, USA; Division of Engineering, Brown University, Providence, RI, USA; Division of Engineering, Brown University, Providence, RI, USA; School of Cognitive Science, Hampshire College, Amherst, MA, USA","Seventh Workshop on Interaction Between Compilers and Computer Architectures, 2003. INTERACT-7 2003. Proceedings.","8 Apr 2003","2003","","","57","64","By anticipating when resources will be idle, it is possible to reconfigure the hardware to reduce power consumption without significantly reducing performance. This requires predicting what the resource requirements will be for an application. In the past, researchers have taken one of two approaches: design hardware monitors that can measure recent performance, or profile the application to determine the most likely behavior for each block of code. This paper explores a third option which is to combine hardware monitoring with software profiling to achieve lower power utilization than either method alone. We demonstrate the potential for this approach in two ways. First, we compare hardware monitoring and software profiling of IPC for code blocks and show that they capture different information. By combining them, we can control issue width and ALU usage more effectively to save more power. Second, we show that anticipating stalls due to critical load misses in the L2 cache can enable fetch halting. Again, hardware monitoring and software profiling must be used together to effectively predict misses and criticality of loads.","","0-7695-1889-3","10.1109/INTERA.2003.1192356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1192356","","Software performance;Hardware;Monitoring;Application software;Energy consumption;Sampling methods;Iris;Power engineering and energy;Educational institutions;Cognitive science","power consumption;microprocessor chips;monitoring;performance evaluation;cache storage;computer architecture","power consumption;performance;hardware monitoring;software profiling;IPC;code blocks;L2 cache;fetch halting;miss prediction;high-end microprocessor design;instructions per cycle;load criticality;issue width;ALU usage","","8","","23","IEEE","8 Apr 2003","","","IEEE","IEEE Conferences"
"WattsKit: Software-Defined Power Monitoring of Distributed Systems","M. Colmant; P. Felber; R. Rouvoy; L. Seinturier",ADEME / University of Lille / Inria; University of Neuchâtel; University of Lille / Inria / IUF; University of Lille / Inria / IUF,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)","13 Jul 2017","2017","","","514","523","The design and the deployment of energy-efficient distributed systems is a challenging task, which requires software engineers to consider all the layers of a system, from hardware to software. In particular, monitoring and analyzing the power consumption of a distributed system spanning several-potentially heterogeneous-nodes becomes particularly tedious when aiming at a finer granularity than observing the power consumption of hosting nodes. While the state-of-the-art in software-defined power meters fails to deliver adaptive solutions to offer such service-level perspective and to cope with the diversity of hardware CPU architectures, this paper proposes to automatically learn the power models of the nodes supporting a distributed system, and then to use these inferred power models to better understand how the power consumption of the system's processes is distributed across nodes at runtime. Our solution, named WattsKit, offers a modular toolkit to build software-defined power meters ""à la carte"", thus dealing with the diversity of user and hardware requirements. Beyond the demonstrated capability of covering a wide diversity of CPU architectures with high accuracy, we illustrate the benefits of adopting software-defined power meters to analyze the power consumption of complex layered and distributed systems. In particular, we illustrate the capability of our approach to monitor the power consumption of a system composed of Docker Swarm, Weave, Elasticsearch, and Apache Zookeeper. Thanks to WattsKit, developers and administrators are now able to identify potential power leaks in their software infrastructure.","","978-1-5090-6611-7","10.1109/CCGRID.2017.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973738","","Power demand;Monitoring;Weaving;Program processors;Meters;Hardware","distributed processing;monitoring;power aware computing;software engineering","WattsKit;software-defined power monitoring;energy-efficient distributed systems;software engineering;power consumption monitoring;power consumption analysis;power models learning;software-defined power meters","","4","","28","IEEE","13 Jul 2017","","","IEEE","IEEE Conferences"
"Virtual Machine Power Accounting with Shapley Value","W. Jiang; F. Liu; G. Tang; K. Wu; H. Jin","Key Laboratory of Services Computing Technology and System, Huazhong University of Science and Technology, China; Key Laboratory of Services Computing Technology and System, Huazhong University of Science and Technology, China; University of Victoria, Canada; University of Victoria, Canada; Key Laboratory of Services Computing Technology and System, Huazhong University of Science and Technology, China","2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS)","17 Jul 2017","2017","","","1683","1693","The ever-increasing power consumption of datacenters has eaten up a large portion of their profit. One possible solution is to charge datacenter users for their actual power usage. However, it poses a great technical challenge as the power of VMs co-existing in a physical machine cannot be measured directly. It is thus critical to develop a fair method to disaggregate the power of a physical machine to individual VMs. We tackle the above challenge by modeling the power disaggregation problem as a cooperative game and propose non-deterministic Shapley value to discover the fair power share of VMs (in the sense of satisfying four desired axiomatic principles), while compensating the negative impact of VM power variation. We demonstrate that the results from existing power model-based solution can deviate from the ""ground truth"" by 25.22% ~46.15%. And compared with the exact Shapley value, our non-deterministic Shapley value can achieve less than 5% error for 90% of the time.","1063-6927","978-1-5386-1792-2","10.1109/ICDCS.2017.235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980105","Virtual Machine;Power Accounting;Power Disaggregation;Fairness;Shapley Value","Power demand;Estimation;Power measurement;Hardware;Pricing;Servers;Radiation detectors","computer centres;game theory;power aware computing;power consumption;virtual machines","virtual machine power accounting;data center power consumption;power usage;physical machine;power disaggregation problem;cooperative game;nondeterministic Shapley value;fair power share;axiomatic principles;VM power variation;power model-based solution","","13","","39","IEEE","17 Jul 2017","","","IEEE","IEEE Conferences"
"Dynamic Virtual Machine migration algorithms using enhanced energy consumption model for green cloud data centers","J. Huang; K. Wu; M. Moh","Department of Computer Science, San Jose State University, San Jose, CA, USA; Department of Computer Science, San Jose State University, San Jose, CA, USA; Department of Computer Science, San Jose State University, San Jose, CA, USA","2014 International Conference on High Performance Computing & Simulation (HPCS)","22 Sep 2014","2014","","","902","910","Cloud data centers consume an enormous amount of energy. Virtual Machine (VM) migration technology can be applied to reduce energy consumption by consolidating VMs onto the minimal number of servers and turn idle servers into power-saving modes. While most existing energy models consider mainly computing energy, an enhanced energy consumption model is formulated, which includes energy consumption for computation, for servers to switch from standby to active modes, and for communication during VM migrations. Next, two new dynamic VM migration algorithms are proposed. They apply a local regression method to predict potentially over-utilized servers, and the 0-1 knapsack dynamic programming to find the best-fit combination of VMs for migration. The time complexity of these algorithms is analyzed, which indicates that they are highly scalable. Performance is evaluated and compared with existing algorithms. The two new heuristics have significantly reduced the number of VM migration, the number of rebooted servers, and energy consumption. Furthermore, one of them has achieved the least overall SLA violations. We believe that the new energy formulation and the two new heuristics contribute significantly towards achieving green cloud computing.","","978-1-4799-5313-4","10.1109/HPCSim.2014.6903785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903785","cloud computing;communication energy;energy formulation;energy efficiency;SLA;switching energy;virtual machine placement","Servers;Heuristic algorithms;Energy consumption;Switches;Prediction algorithms;Power demand;Computational modeling","cloud computing;computer centres;dynamic programming;energy consumption;green computing;power aware computing;regression analysis;virtual machines","dynamic virtual machine migration algorithms;green cloud computing;energy formulation;service level agreements;SLA violations;time complexity;0-1 knapsack dynamic programming;local regression method;power-saving modes;VM migration technology;green cloud data centers;energy consumption model","","35","","34","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Intra-Balance Virtual Machine Placement for Effective Reduction in Energy Consumption and SLA Violation","A. -M. Ammar; J. Luo; Z. Tang; O. Wajdy","School of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Computer Science and Electronic Engineering, Hunan University, Changsha, China; School of Computer Science and Technology, University of Science and Technology of China (USTC), Hefei, China","IEEE Access","12 Jun 2019","2019","7","","72387","72402","Cloud computing has emerged as one of the most important technological revolutions globally. However, the rapid growth of cloud computing has imposed a massive financial burden and resulted in environmental side effects due to excessive energy consumption. The high power consumption is not only attributed to the size of data centers but also to the ineptitude of resource usage. Most of the extant research has focused on reducing power consumption by an aggressive VM consolidation, which leads to the violation of the service level agreement (SLA). Furthermore, the unbalanced resource consumption exacerbates the unavailable wasted resources that are referred to as unavailable resource fragmentation. In this paper, we propose the use of a balanced resources consumption algorithm called BRC-IBMMT in order to enhance the efficiency of resource consumption while achieving an acceptable balance between conflicting correlation objectives of power consumption as well as SLA violation. The extensive simulation results of different types of workload validate and lend credence to the significance of the proposed method in reducing power consumption and SLA violation of the cloud data center.","2169-3536","","10.1109/ACCESS.2019.2920010","National Natural Science Foundation of China(grant numbers:61672220); Key Scientific and Technological Research and Development Plan of Hunan Province(grant numbers:2017GK2030); National Defense Basic Research Plan(grant numbers:JCKY2018110C145); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726286","Balanced resource placement;VM consolidation;energy consumption;cloud computing","Power demand;Cloud computing;Resource management;Data centers;Energy consumption;Servers;Quality of service","cloud computing;computer centres;energy consumption;power aware computing;resource allocation;virtual machines","resource usage;SLA violation;cloud data center;cloud computing;environmental side effects;resource consumption;wasted resources;virtual machine;energy consumption;power consumption;service level agreement;exacerbates;BRC-IBMMT","","12","","33","OAPA","30 May 2019","","","IEEE","IEEE Journals"
"Dynamic Virtual Machine Consolidation Algorithm Based on Balancing Energy Consumption and Quality of Service","W. Li; Q. Fan; W. Cui; F. Dang; X. Zhang; C. Dai","School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; State Grid Henan Information & Communication Company, Zhengzhou, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; State Grid Chonqing Information & Telecommunication Company, Chongqing, China","IEEE Access","8 Aug 2022","2022","10","","80958","80975","Virtual machine consolidation (VMC) is an effective way to solve the problems of high power consumption and low utilization in cloud data centers. However, large-scale virtual machine migrations (VMMs) can result in additional workloads, service-level agreement violations (SLAVs), and considerable energy consumption (EC). Existing studies have made great progress in this respect, but the following problems remain: first, the potential overload of the physical host is not considered in the load detection of the physical host; second, the resource-demand scaling of physical hosts is not considered during virtual machine (VM) placement, which results in the lack of accuracy in selecting suitable hosts. In view of the above problems, this study firstly constructs a virtual resource consolidation model based on green energy conservation (GEC-VRCM), which defines the specific process and related attributes of VMC, which is beneficial to improve the consolidation efficiency of virtual resources. Second, based on this model, we propose a dynamic virtual machine consolidation algorithm based on balancing energy consumption and quality of service (EQ-DVMCA) to achieve efficient consolidation of virtual resources. Finally, experiments show that, compared with the selected 12 benchmark algorithms and two advanced VMC algorithms, EQ-DVMCA not only reduces the number of VMMs and EC, but also maintains a high level of Quality of Service (QoS) and achieves a balance between EC and QoS.","2169-3536","","10.1109/ACCESS.2022.3194514","State Grid Corporation of China Headquarters Management Science and Technology Project “Research and Application of Key Technologies of Adaptive Protection for State Grid Cloud Security”(grant numbers:SGHAXT00YJJS2100034); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9843955","Virtual machine consolidation;energy consumption;virtual machine migration;quality of service","Data centers;Virtual machine monitors;Quality of service;Cloud computing;Virtual machining;Heuristic algorithms;Servers;Energy consumption","cloud computing;computer centres;contracts;energy conservation;energy consumption;power aware computing;quality of service;resource allocation;virtual machines","dynamic virtual machine consolidation algorithm;balancing energy consumption;service-level agreement violations;resource-demand scaling;virtual machine placement;virtual resource consolidation;green energy conservation;SLAV;dynamic VMC algorithm;quality of service;EQ-DVMCA;QoS;GEC-VRCM;cloud data centers","","1","","33","CCBY","28 Jul 2022","","","IEEE","IEEE Journals"
"DeepPM: Transformer-based Power and Performance Prediction for Energy-Aware Software","J. S. Shim; B. Han; Y. Kim; J. Kim","Department of Computer Science and Engineering, Seoul National University; Department of Computer Science and Engineering, Seoul National University; Department of Information and Communication Engineering, DGIST; Department of Computer Science and Engineering, Seoul National University","2022 Design, Automation & Test in Europe Conference & Exhibition (DATE)","19 May 2022","2022","","","1491","1496","Many system-level management and optimization techniques need accurate estimates of power consumption and performance. Earlier research has proposed many high-level/source-level estimation modeling works, particularly for basic blocks. However, most of them still need to execute the target software at least once on a fine-grained simulator or real hardware to extract required features. This paper proposes a performance/power prediction framework, called Deep Power Meter (DeepPM), which estimates them accurately only using the compiled binary. Inspired by the deep learning techniques in natural language processing, we convert the program instructions in the form of vectors and predict the average power and performance of basic blocks based on a transformer model. In addition, unlike existing works based on a Long Short-Term Memory (LSTM) model structure, which only works for basic blocks with a small number of instructions, DeepPM provides highly accurate results for long basic blocks, which takes the majority of the execution time for actual application runs. In our evaluation conducted with SPEC2006 benchmark suite, we show that DeepPM can provide accurate prediction for performance and power consumption with 10.2% and 12.3% error, respectively. DeepPM also outperforms the LSTM-based model by up to 67.2% and 34.9% error for performance and power, respectively.","1558-1101","978-3-9819263-6-1","10.23919/DATE54114.2022.9774589","National Research Foundation of Korea(grant numbers:NRF-2018R1A5A1060031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9774589","Power and performance modeling;system resource prediction;transformer","Deep learning;Power demand;Runtime;Predictive models;Transformer cores;Transformers;Feature extraction","deep learning (artificial intelligence);instruction sets;power aware computing;program compilers;program diagnostics;software performance evaluation","DeepPM;performance prediction;energy-aware software;system-level management;optimization technique;power consumption;program instructions;transformer model;long short-term memory model;LSTM-based model;deep learning technique;Deep Power Meter;transformer-based power prediction;compiled binary","","","","17","","19 May 2022","","","IEEE","IEEE Conferences"
