Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Series
Conference Paper;Hampau RM,Kaptein M,van Emden R,Rost T,Malavolta I;An Empirical Study on the Performance and Energy Consumption of AI Containerization Strategies for Computer-Vision Tasks on the Edge;;2022;;;50–59;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering;Gothenburg, Sweden;2022;9,78145E+12;;"https://doi.org/10.1145/3530019.3530025;http://dx.doi.org/10.1145/3530019.3530025";10.1145/3530019.3530025;Context. The rise of use cases of AI catered towards the Edge, where devices have limited computation power and storage capabilities, motivates the need for better understating of how AI performs and consumes energy. Goal. The aim of this paper is to empirically assess the impact of three different AI containerization strategies on the energy consumption, execution time, CPU, and memory usage for computer-vision tasks on the Edge. Method. In this paper we conduct an experiment with the used containerization strategy as main factor, with three treatments: ONNX Runtime, WebAssembly, and Docker. The subjects of the experiment are four widely-used computer-vision algorithms. We then orchestrate a series of runs where we deploy the four subjects on different generations of Raspberry Pi devices, with different hardware capabilities. A total of 120 runs (per device) are recorded to gather data on energy, execution time, CPU, and memory. Results. We found a statistically significant difference between the three containerization strategies on all dependent variables. Specifically, WebAssembly proves to be a valuable alternative for devices with reduced disk space and computation power. Conclusions. For computer-vision tasks with limited disk space and RAM memory requirements, developers should prefer WebAssembly for deployment. The (non-dockerized) ONNX Runtime resulted to be the best choice in terms of energy consumption and execution time.;;;EASE '22
Conference Paper;Berkelaar MR,Buurman PH,Jess JA;Computing the Entire Active Area/Power Consumption versus Delay Trade-off Curve for Gate Sizing with a Piecewise Linear Simulator;;1994;;;474–480;IEEE Computer Society Press;Washington, DC, USA;;Proceedings of the 1994 IEEE/ACM International Conference on Computer-Aided Design;San Jose, California, USA;1994;9,7809E+12;;;;The gate sizing problem is the problem of finding load drive capabilities for all gates in a given Boolean network such, that a given delay limit is kept, and the necessary cost in terms of active area usage and/or power consumption is minimal. This paper describes a way to obtain the entire cost versus delay trade-off curve of a combinational logic circuit in an efficient way. Every point on the resulting curve is the global optimum of the corresponding gate sizing problem. The problem is solved by mapping it onto piecewise linear models in such a way, that a piecewise linear (circuit) simulator can do the job. It is shown that this setup is very efficient, and can produce trade-off curves for large circuits (thousands of gates) in a few minutes. Benchmark results for the entire set of MCNC '91 two-level examples are given.;;;ICCAD '94
Conference Paper;Chakraborty I,Chandan V,Vrabie D;A Sequential DNN Based Baseline Energy Prediction Framework with Long Term Error Mitigation;;2019;;;508–515;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Tenth ACM International Conference on Future Energy Systems;Phoenix, AZ, USA;2019;9,78145E+12;;"https://doi.org/10.1145/3307772.3331027;http://dx.doi.org/10.1145/3307772.3331027";10.1145/3307772.3331027;In this paper, we present a novel sequential framework containing two deep network architectures for baseline energy prediction of a building. The proposed framework utilizes convolution layers to extract features from the input data space without changing spatial relations between variables. These features are memorized by tensor train based gated recurrent units for an accurate long-term prediction. We observe that this sequential framework helps to improve long term prediction accuracy, thereby mitigating prediction error accumulation over time. Although architectures comprising the amalgamation of convolution layers and memory cell have shown promising results in domains such as social media analysis, language modeling, video frame prediction, and image recognition, this paper extends its scope to the context of energy applications. Furthermore, the addition of tensor train based gated recurrent units is motivated by the necessity of computational time reduction during the training process, thereby making this framework suitable for field deployment. Results on a commercial building dataset show that the current framework outperforms other existing machine learning based methods, in both short-term and long-term prediction categories.;;;e-Energy '19
Journal Article;Klostermeyer WF,Srinivas K;Reducing Disk Power Consumption in a Portable Computer;SIGOPS Oper. Syst. Rev.;1995;29;2;27–32;Association for Computing Machinery;New York, NY, USA;;;;1995-04;;0163-5980;"https://doi.org/10.1145/202213.202218;http://dx.doi.org/10.1145/202213.202218";10.1145/202213.202218;The problem of minimizing disk power consumption in portable personal computers is studied. Two online algorithms for determining when to stop spinning a disk are presented and analyzed using competitive analysis techniques.;;;
Conference Paper;Hindle A,Wilson A,Rasmussen K,Barlow EJ,Campbell JC,Romansky S;GreenMiner: A Hardware Based Mining Software Repositories Software Energy Consumption Framework;;2014;;;12–21;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 11th Working Conference on Mining Software Repositories;Hyderabad, India;2014;9,78145E+12;;"https://doi.org/10.1145/2597073.2597097;http://dx.doi.org/10.1145/2597073.2597097";10.1145/2597073.2597097;Green Mining is a field of MSR that studies software energy consumption and relies on software performance data. Unfortunately there is a severe lack of publicly available software power use performance data. This means that green mining researchers must generate this data themselves by writing tests, building multiple revisions of a product, and then running these tests multiple times (10+) for each software revision while measuring power use. Then, they must aggregate these measurements to estimate the energy consumed by the tests for each software revision. This is time consuming and is made more difficult by the constraints of mobile devices and their OSes. In this paper we propose, implement, and demonstrate Green Miner: the first dedicated hardware mining software repositories testbed. The Green Miner physically measures the energy consumption of mobile devices (Android phones) and automates the testing of applications, and the reporting of measurements back to developers and researchers. The Green Miner has already produced valuable results for commercial Android application developers, and has been shown to replicate other power studies' results.;Software Change, Software Energy Consumption, Android;;MSR 2014
Conference Paper;Moussa RR,Dewidar KM;Evaluating the Efficiency of Energy-Scape Software;;2019;;;60–65;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 8th International Conference on Software and Information Engineering;Cairo, Egypt;2019;9,78145E+12;;"https://doi.org/10.1145/3328833.3328868;http://dx.doi.org/10.1145/3328833.3328868";10.1145/3328833.3328868;Recently, researchers were focusing on integrating renewable energy (RE) within urban environment instead of integrating renewables with buildings due to the large occupies of urban areas. Urban areas have a great potential in generating sufficient amount of energy that could satisfy the needs of urban neighborhoods. Energy-scape elements are sustainable elements that integrates RE devices with landscape elements. This research focuses on analyzing the importance and efficiency of Energy-scape software through a qualitative method. The efficiency of Energy-scape web-based application will be tested using qualitative method and a site survey. The research concludes that Energy-scape software application is an effective tool for landscape designers in using Energy-scape elements, it identifies the optimum type and location of Energy-scape elements within their projects, and it calculates the impact of using Energy-scape elements in term of energy-savings and carbon emission (CO2) reduction.;Renewable energy, Landscape elements, Energy-scape database, Energy-scape Elements, Energy-scape software;;ICSIE '19
Conference Paper;van Gastel B;Analysing Energy Consumption of Systems Controlled by Software;;2017;;;;Association for Computing Machinery;New York, NY, USA;;Companion Proceedings of the 1st International Conference on the Art, Science, and Engineering of Programming;Brussels, Belgium;2017;9,78145E+12;;"https://doi.org/10.1145/3079368.3079396;http://dx.doi.org/10.1145/3079368.3079396";10.1145/3079368.3079396;Energy consumption analysis of IT-controlled systems can play a major role in minimising the overall energy consumption of such IT systems, during the development phase, or for optimisation in the field. As software is increasingly embedded in our daily life, with IT using more and more energy, the software industry should become aware of their energy footprint, and methods must be developed to assist in reducing this footprint.Recently, we developed a precise energy analysis, to analyse software in conjunction with hardware. It has the property of being parametric with regard to the hardware. In principle, this creates the opportunity to investigate which is the best software implementation for given hardware, or the other way around: choose the best hardware for a given algorithm.;;;Programming '17
Journal Article;Ha TM,Samejima M,Komoda N;Power and Performance Estimation for Fine-Grained Server Power Capping via Controlling Heterogeneous Applications;ACM Trans. Manage. Inf. Syst.;2017;8;4;;Association for Computing Machinery;New York, NY, USA;;;;2017-08;;2158-656X;"https://doi.org/10.1145/3086449;http://dx.doi.org/10.1145/3086449";10.1145/3086449;Power capping is a method to save power consumption of servers by limiting performance of the servers. Although users frequently run applications on different virtual machines (VMs) for keeping their performance and having them isolated from the other applications, power capping may degrade performance of all the applications running on the server. We present fine-grained power capping by limiting performance of each application individually. For keeping performance defined in Quality of Service (QoS) requirements, it is important to estimate applications’ performance and power consumption after the fine-grained power capping is applied. We propose the estimation method of physical CPU usage when limiting virtual CPU usage of applications on VMs. On servers where multiple VMs run, VM’s usage of physical CPU is interrupted by the other VMs, and a hypervisor uses physical CPU to control VMs. These VMs’ and hypervisor’s behaviors make it difficult to estimate performance and power consumption by straightforward methods, such as linear regression and polynomial regression. The proposed method uses Piecewise Linear Regression to estimate physical CPU usage by assuming that VM’s access to physical CPU is not interrupted by the other VMs. Then we estimate how much physical CPU usage is reduced by the interruption. Because physical CPU usage is not stable soon after limiting CPU usage, the proposed method estimates a convergence value of CPU usage after many interruptions are repeated.;piecewise linear regression, Server power capping, response time, power consumption;;
Conference Paper;Rieger F,Bockisch C;Survey of Approaches for Assessing Software Energy Consumption;;2017;;;19–24;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2nd ACM SIGPLAN International Workshop on Comprehension of Complex Systems;Vancouver, BC, Canada;2017;9,78145E+12;;"https://doi.org/10.1145/3141842.3141846;http://dx.doi.org/10.1145/3141842.3141846";10.1145/3141842.3141846;Though the energy consumption of software-controlled ICT systems ranging from mobile devices to data centers is increasingly gaining attention, energy optimization is still far from an established task in the software development process. Therefore, we have surveyed the available research on assessing the energy consumption of software systems, which showed a lack of development tools, but several approaches exist for measuring the energy consumption. We group these approaches according to how measurement data is made available and compare several characteristics of the collected data. The survey shows that not only development tools for software energy optimization are still missing, but there is also a lack of fine-grained measurement approaches as well as approaches for general-purpose platforms.;Survey, Software Energy Behavior, Energy Analysis, Energy Measurement;;CoCoS 2017
Conference Paper;Noureddine A,Rouvoy R,Seinturier L;Unit Testing of Energy Consumption of Software Libraries;;2014;;;1200–1205;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 29th Annual ACM Symposium on Applied Computing;Gyeongju, Republic of Korea;2014;9,78145E+12;;"https://doi.org/10.1145/2554850.2554932;http://dx.doi.org/10.1145/2554850.2554932";10.1145/2554850.2554932;The development of energy-efficient software has become a key requirement for a large number of devices, from smartphones to data centers. However, measuring accurately this consumption is a major challenge that state-of-the-art approaches have tried to tackle with a limited success. While monitoring applications' consumption offers a clear insight on where the energy is being spent, it does not help in understanding how the energy is consumed. In this paper, we therefore introduce JalenUnit, a software framework that infers the energy consumption model of software libraries from execution traces. This model can then be used to diagnose application code for detecting energy bugs, understanding energy distribution, establishing energy profiles and classifications, and comparing software libraries against their energy consumption.;energy measurement, software metrics, empirical benchmarking, energy, modeling, benchmarks, power modeling;;SAC '14
Conference Paper;Jagroep E,Broekman J,van der Werf JM,Brinkkemper S,Lago P,Blom L,van Vliet R;Awakening Awareness on Energy Consumption in Software Engineering;;2017;;;76–85;IEEE Press;Buenos Aires, Argentina;;Proceedings of the 39th International Conference on Software Engineering: Software Engineering in Society Track;;2017;9,78154E+12;;"https://doi.org/10.1109/ICSE-SEIS.2017.10;http://dx.doi.org/10.1109/ICSE-SEIS.2017.10";10.1109/ICSE-SEIS.2017.10;Software producing organizations have the ability to address the energy impact of their ICT solutions during the development process. However, while industry is convinced of the energy impact of hardware, the role of software has mostly been acknowledged by researchers in software engineering. Strengthened by the limited practical knowledge to reduce the energy consumption, organizations have less control over the energy impact of their products and lose the contribution of software towards energy related strategies. Consequently, industry risks not being able to meet customer requirements or even fulfill corporate sustainability goals.In this paper we perform an exploratory case study on how to create and maintain awareness on an energy consumption perspective for software among stakeholders involved with the development of software products. During the study, we followed the development process of two commercial software products and provided direct feedback to the stakeholders on the effects of their development efforts, specifically concerning energy consumption and performance, using an energy dashboard. Multiple awareness measurements allowed us to keep track of changes over time on specific aspects affecting software development. Our results show that, despite a mixed sentiment towards the dashboard, changed awareness has triggered discussion on the energy consumption of software.;software engineering, energy consumption perspective, software energy consumption, awareness;;ICSE-SEIS '17
Conference Paper;Ournani Z,Rouvoy R,Rust P,Penhoat J;On Reducing the Energy Consumption of Software: From Hurdles to Requirements;;2020;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 14th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM);Bari, Italy;2020;9,78145E+12;;"https://doi.org/10.1145/3382494.3410678;http://dx.doi.org/10.1145/3382494.3410678";10.1145/3382494.3410678;Background. As software took control over hardware in many domains, the question of the energy footprint induced by the software is becoming critical for our society, as the resources powering the underlying infrastructure are finite. Yet, beyond this growing interest, energy consumption remains a difficult concept to master for a developer.Aims. The purpose of this study is to better understand the root causes that prevent the issue of software energy consumption to be more widely considered by developers and companies.Method. To investigate this issue, this paper reports on a qualitative study we conducted in an industrial context. We applied an in-depth analysis of the interviews of 10 experienced developers and summarized a set of implications.Results. We argue that our study delivers i) insightful feedback on how green software design is considered among the interviewed developers and ii) a set of findings to build helpful tools, motivate further research, and establish better development strategies to promote green software design.Conclusion. This paper covers an industrial case study of developers' awareness of green software design and how to promote it within the company. While it might not be generalizable for any company, we believe our results deliver a common body of knowledge with implications to be considered for similar cases and further researches.;;;ESEM '20
Conference Paper;Rodionov D,Daniali S,Khortabi F,Moqaddasnejad A;Study Effect of Information and Communication Technology (ICT) on Energy Consumption and Greenhouse Gas Emissions in Selected Oil-Producing Countries;;2022;;;35–41;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 3rd International Scientific Conference on Innovations in Digital Economy;Saint - Petersburg, Russian Federation;2022;9,78145E+12;;"https://doi.org/10.1145/3527049.3527123;http://dx.doi.org/10.1145/3527049.3527123";10.1145/3527049.3527123;The current trend of increasing energy consumption in the world has brought about two major crises for humanity. The first one is environmental pollution and the running out of energy resources. Energy supply is one of the fundamental requirements of economic development and improving the quality of human life. Since the industrial revolution in the mid-18th century, the ever-growing consumption of energy in the world has been continued. Further, Carbon Dioxide emitted during the combustion of fossil fuels has exerted irreversible and threatening changes in the world. Today, experts and researchers are looking for sustainable development and some strategies to reduce energy consumption and environmental pollution. Using ICT has been considered to be one of the effective solutions to achieve these goals. Due to the adverse economic and environmental consequences, as well as the continuous increase of greenhouse gas emissions, there is an emergent need to conduct some inquiries to identify the source of problems and propose some efficient coping strategies. The present study is conducted to investigate the relationship between carbon dioxide emissions, energy consumption, ICT development index, and economic growth. For this purpose, the data panel method was utilized for selected oil producing countries from 1998 to 2011. The results of model estimation revealed that the Kuznets hypothesis was confirmed in the period under investigation and also the development of ICT had a positive effect on reducing energy consumption and air pollution.;;;SPBPU IDE '21
Conference Paper;Li Z,Grosu R,Sehgal P,Smolka SA,Stoller SD,Zadok E;On the Energy Consumption and Performance of Systems Software;;2011;;;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th Annual International Conference on Systems and Storage;Haifa, Israel;2011;9,78145E+12;;"https://doi.org/10.1145/1987816.1987827;http://dx.doi.org/10.1145/1987816.1987827";10.1145/1987816.1987827;Models of energy consumption and performance are necessary to understand and identify system behavior, prior to designing advanced controls that can balance out performance and energy use. This paper considers the energy consumption and performance of servers running a relatively simple file-compression workload. We found that standard techniques for system identification do not produce acceptable models of energy consumption and performance, due to the intricate interplay between the discrete nature of software and the continuous nature of energy and performance. This motivated us to perform a detailed empirical study of the energy consumption and performance of this system with varying compression algorithms and compression levels, file types, persistent storage media, CPU DVFS levels, and disk I/O schedulers. Our results identify and illustrate factors that complicate the system's energy consumption and performance, including nonlinearity, instability, and multi-dimensionality. Our results provide a basis for future work on modeling energy consumption and performance to support principled design of controllable energy-aware systems.;energy efficiency, data compression, system identification;;SYSTOR '11
Conference Paper;Guégain É,Quinton C,Rouvoy R;On Reducing the Energy Consumption of Software Product Lines;;2021;;;89–99;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 25th ACM International Systems and Software Product Line Conference - Volume A;Leicester, United Kingdom;2021;9,78145E+12;;"https://doi.org/10.1145/3461001.3471142;http://dx.doi.org/10.1145/3461001.3471142";10.1145/3461001.3471142;Along the last decade, several studies considered green software design as a key development concern to improve the energy efficiency of software. Yet, few techniques address this concern for Software Product Lines (SPL). In this paper, we therefore introduce two approaches to measure and reduce the energy consumption of a SPL by analyzing a limited set of products sampled from this SPL. While the first approach relies on the analysis of individual feature consumptions, the second one takes feature interactions into account to better mitigate energy consumption of resulting products.Our experimental results on a real-world SPL indicate that both approaches succeed to produce significant energy improvements on a large number of products, while consumption data was modeled from a small set of sampled products. Furthermore, we show that taking feature interactions into account leads to more products improved with higher energy savings per product.;mitigation, consumption, measurement, software product lines, energy;;SPLC '21
Conference Paper;Juang P,Oki H,Wang Y,Martonosi M,Peh LS,Rubenstein D;Energy-Efficient Computing for Wildlife Tracking: Design Tradeoffs and Early Experiences with ZebraNet;;2002;;;96–107;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 10th International Conference on Architectural Support for Programming Languages and Operating Systems;San Jose, California;2002;9,78158E+12;;"https://doi.org/10.1145/605397.605408;http://dx.doi.org/10.1145/605397.605408";10.1145/605397.605408;"Over the past decade, mobile computing and wireless communication have become increasingly important drivers of many new computing applications. The field of wireless sensor networks particularly focuses on applications involving autonomous use of compute, sensing, and wireless communication devices for both scientific and commercial purposes. This paper examines the research decisions and design tradeoffs that arise when applying wireless peer-to-peer networking techniques in a mobile sensor network designed to support wildlife tracking for biology research.The ZebraNet system includes custom tracking collars (nodes) carried by animals under study across a large, wild area; the collars operate as a peer-to-peer network to deliver logged data back to researchers. The collars include global positioning system (GPS), Flash memory, wireless transceivers, and a small CPU; essentially each node is a small, wireless computing device. Since there is no cellular service or broadcast communication covering the region where animals are studied, ad hoc, peer-to-peer routing is needed. Although numerous ad hoc protocols exist, additional challenges arise because the researchers themselves are mobile and thus there is no fixed base station towards which to aim data. Overall, our goal is to use the least energy, storage, and other resources necessary to maintain a reliable system with a very high `data homing' success rate. We plan to deploy a 30-node ZebraNet system at the Mpala Research Centre in central Kenya. More broadly, we believe that the domain-centric protocols and energy tradeoffs presented here for ZebraNet will have general applicability in other wireless and sensor applications.";;;ASPLOS X
Journal Article;Juang P,Oki H,Wang Y,Martonosi M,Peh LS,Rubenstein D;Energy-Efficient Computing for Wildlife Tracking: Design Tradeoffs and Early Experiences with ZebraNet;SIGARCH Comput. Archit. News;2002;30;5;96–107;Association for Computing Machinery;New York, NY, USA;;;;2002-10;;0163-5964;"https://doi.org/10.1145/635506.605408;http://dx.doi.org/10.1145/635506.605408";10.1145/635506.605408;"Over the past decade, mobile computing and wireless communication have become increasingly important drivers of many new computing applications. The field of wireless sensor networks particularly focuses on applications involving autonomous use of compute, sensing, and wireless communication devices for both scientific and commercial purposes. This paper examines the research decisions and design tradeoffs that arise when applying wireless peer-to-peer networking techniques in a mobile sensor network designed to support wildlife tracking for biology research.The ZebraNet system includes custom tracking collars (nodes) carried by animals under study across a large, wild area; the collars operate as a peer-to-peer network to deliver logged data back to researchers. The collars include global positioning system (GPS), Flash memory, wireless transceivers, and a small CPU; essentially each node is a small, wireless computing device. Since there is no cellular service or broadcast communication covering the region where animals are studied, ad hoc, peer-to-peer routing is needed. Although numerous ad hoc protocols exist, additional challenges arise because the researchers themselves are mobile and thus there is no fixed base station towards which to aim data. Overall, our goal is to use the least energy, storage, and other resources necessary to maintain a reliable system with a very high `data homing' success rate. We plan to deploy a 30-node ZebraNet system at the Mpala Research Centre in central Kenya. More broadly, we believe that the domain-centric protocols and energy tradeoffs presented here for ZebraNet will have general applicability in other wireless and sensor applications.";;;
Journal Article;Juang P,Oki H,Wang Y,Martonosi M,Peh LS,Rubenstein D;Energy-Efficient Computing for Wildlife Tracking: Design Tradeoffs and Early Experiences with ZebraNet;SIGPLAN Not.;2002;37;10;96–107;Association for Computing Machinery;New York, NY, USA;;;;2002-10;;0362-1340;"https://doi.org/10.1145/605432.605408;http://dx.doi.org/10.1145/605432.605408";10.1145/605432.605408;"Over the past decade, mobile computing and wireless communication have become increasingly important drivers of many new computing applications. The field of wireless sensor networks particularly focuses on applications involving autonomous use of compute, sensing, and wireless communication devices for both scientific and commercial purposes. This paper examines the research decisions and design tradeoffs that arise when applying wireless peer-to-peer networking techniques in a mobile sensor network designed to support wildlife tracking for biology research.The ZebraNet system includes custom tracking collars (nodes) carried by animals under study across a large, wild area; the collars operate as a peer-to-peer network to deliver logged data back to researchers. The collars include global positioning system (GPS), Flash memory, wireless transceivers, and a small CPU; essentially each node is a small, wireless computing device. Since there is no cellular service or broadcast communication covering the region where animals are studied, ad hoc, peer-to-peer routing is needed. Although numerous ad hoc protocols exist, additional challenges arise because the researchers themselves are mobile and thus there is no fixed base station towards which to aim data. Overall, our goal is to use the least energy, storage, and other resources necessary to maintain a reliable system with a very high `data homing' success rate. We plan to deploy a 30-node ZebraNet system at the Mpala Research Centre in central Kenya. More broadly, we believe that the domain-centric protocols and energy tradeoffs presented here for ZebraNet will have general applicability in other wireless and sensor applications.";;;
Journal Article;Juang P,Oki H,Wang Y,Martonosi M,Peh LS,Rubenstein D;Energy-Efficient Computing for Wildlife Tracking: Design Tradeoffs and Early Experiences with ZebraNet;SIGOPS Oper. Syst. Rev.;2002;36;5;96–107;Association for Computing Machinery;New York, NY, USA;;;;2002-10;;0163-5980;"https://doi.org/10.1145/635508.605408;http://dx.doi.org/10.1145/635508.605408";10.1145/635508.605408;"Over the past decade, mobile computing and wireless communication have become increasingly important drivers of many new computing applications. The field of wireless sensor networks particularly focuses on applications involving autonomous use of compute, sensing, and wireless communication devices for both scientific and commercial purposes. This paper examines the research decisions and design tradeoffs that arise when applying wireless peer-to-peer networking techniques in a mobile sensor network designed to support wildlife tracking for biology research.The ZebraNet system includes custom tracking collars (nodes) carried by animals under study across a large, wild area; the collars operate as a peer-to-peer network to deliver logged data back to researchers. The collars include global positioning system (GPS), Flash memory, wireless transceivers, and a small CPU; essentially each node is a small, wireless computing device. Since there is no cellular service or broadcast communication covering the region where animals are studied, ad hoc, peer-to-peer routing is needed. Although numerous ad hoc protocols exist, additional challenges arise because the researchers themselves are mobile and thus there is no fixed base station towards which to aim data. Overall, our goal is to use the least energy, storage, and other resources necessary to maintain a reliable system with a very high `data homing' success rate. We plan to deploy a 30-node ZebraNet system at the Mpala Research Centre in central Kenya. More broadly, we believe that the domain-centric protocols and energy tradeoffs presented here for ZebraNet will have general applicability in other wireless and sensor applications.";;;
Conference Paper;Poroseva SV;On Reducing Computational Complexity in Evaluating the Topological Survivability of Power Systems;;2010;;;27–31;Society for Modeling & Simulation International;Vista, CA;;Proceedings of the 2010 Conference on Grand Challenges in Modeling & Simulation;Ottawa, Ontario, Canada;2010;;;;;The topological survivability of a power system is the system ability due to its topology -- the number of system elements that generate and demand power and connections between them -- to supply power to loads under massive sudden damage. Previously we showed that the topological survivability of a power system can be quantified by analyzing the impact of all possible combinations of unrecoverable faults (fault scenarios) on the availability and connectivity of the system elements. The number of possible fault scenarios grows as 2M with increasing the number M of the system elements. Clearly, such an analysis is a computational challenge for large-scale systems. The paper discusses possibilities of reducing computational complexity of the problem.;survivability, computational analysis, power systems, network topology;;GCMS '10
Conference Paper;Zhang Y,Liu J,Wilson E,Kandemir M;Software-Directed Data Access Scheduling for Reducing Disk Energy Consumption;;2011;;;281–282;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 20th International Symposium on High Performance Distributed Computing;San Jose, California, USA;2011;9,78145E+12;;"https://doi.org/10.1145/1996130.1996175;http://dx.doi.org/10.1145/1996130.1996175";10.1145/1996130.1996175;;power optimization, multi-speed disk, i/o storage, compiler-directed, mpi-io, spin-down disk, data access scheduling;;HPDC '11
Conference Paper;Carvalho S,Sullivan J,Dias DM,Naredo E,Ryan C;Using Grammatical Evolution for Modelling Energy Consumption on a Computer Numerical Control Machine;;2021;;;1557–1563;Association for Computing Machinery;New York, NY, USA;;Proceedings of the Genetic and Evolutionary Computation Conference Companion;Lille, France;2021;9,78145E+12;;"https://doi.org/10.1145/3449726.3463185;http://dx.doi.org/10.1145/3449726.3463185";10.1145/3449726.3463185;Discrete manufacturing is known to be a high consumer of energy and much work has been done in continuous improvement and energy saving methods addressing this issue. Computer Numerical Control (CNC) machines, commonly used in the manufacturing of metal parts, are highly energy-demanding because of many required sub-systems, such as cooling, lubrication, logical interfaces and electric motors. For this reason, there is a large body of work focusing on modelling the energy needs of this class of machine.This paper applies Grammatical Evolution (GE) for developing auto-regressive models for the energy consumption of a CNC machine. Empirical data from three 24-hour work shifts comprising three different types of products are used as inputs. We also introduce an autocorrelation-informed approach for the grammar, which benefits from a prior analysis of the training data for better capturing periodic or close to periodic behaviour. Finally, we compare the outcomes from real and predicted energy profiles through the use of an existing analysis tool, which is capable of extracting production-related information such as total and average KW consumption, number of parts produced and breakdown of production and idle hours. Results show that GE yields accurate and explainable models for the analysed scenario.;energy consumption, real-world applications, grammatical evolution, CNC machines;;GECCO '21
Conference Paper;Yang H,Gao GR,Leung C;On Achieving Balanced Power Consumption in Software Pipelined Loops;;2002;;;210–217;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2002 International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;Grenoble, France;2002;9,78158E+12;;"https://doi.org/10.1145/581630.581663;http://dx.doi.org/10.1145/581630.581663";10.1145/581630.581663;While a significant body of work in compilers has been devoted to reducing energy consumption in embedded systems, the role of a compiler in harnessing the power variation has not been widely explored. Since sharp power variations across time steps cause power supply noises and degrade reliability of functional blocks, power variation is a design constraint in embedded systems. With the advent of high performance embedded systems and extensive deployment of fine grain clock-gating, reducing variations in power is becoming increasingly important.This paper studies how compilation techniques, more specifically instruction scheduling, can ameliorate variations in power due to functional units during program execution. By extending our previous work on rate-optimal software pipelining, this paper formulates the problem of constructing a performance-optimal schedule that minimizes power variations as an integer linear programming (ILP) problem. The formulation can be solved using an ILP solver. We applied our approach on SPEC NAS benchmarks to construct software pipelined schedules that have minimum power variations. The benchmarks are executed on the Wattch power simulator. In comparison to the original (power-unaware) scheduler implemented in the MIPSpro compiler, our power-aware approach generates schedules which have significantly lower power variations while maintaining the same performance. Such schedules have the potential to reduce hardware cost on power delivery in designing embedded systems.;instruction level parallelism, power-aware compilation, software pipelining;;CASES '02
Conference Paper;Liu J,Chang Y,Wei D,Wang D,Zhang T;An Information Monitoring Platform for Thermal Energy Storage Systems Using Cloud Computing;;2018;;;19–24;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2018 International Conference on Cloud Computing and Internet of Things;Singapore, Singapore;2018;9,78145E+12;;"https://doi.org/10.1145/3291064.3291069;http://dx.doi.org/10.1145/3291064.3291069";10.1145/3291064.3291069;Energy storage plays a key element to use new energy to replace traditional coal and petrochemical energy, and it plays an important role of shifting energy utilization ways. Nowadays energy internet is a way of renewable and sharing energy. A cloud platform for monitoring energy information of thermal storage systems is developed by using cloud computing, IoT and energy storage technologies. This platform allows a user to monitor the running conditions of regional thermal energy systems in real-time from anywhere as the condition data are synchronized to the client-side website, and data are stored into a data storage server. To quickly locate any thermal energy storage system, the geographical locations of the systems built anywhere are marked on the map of the web page. The condition data of all systems can be collected and communicated between the control unit installed in the heat system and the servers on cloud. The gathered data can be worked out for further allocating energy consumption. This platform has been launched after successfully tested on a number of practical thermal energy storage systems at different regions. This will provide a guarantee for further intelligent analysis and optimization of energy deployment.;Monitoring, Energy internet, Thermal energy storage, Cloud computing;;CCIOT '18
